"","Country","year","AverageTemperature_2013","AverageTemperature_avg","variance","difference"
"122","Laos",2013,25.38525,23.5597289226855,3.33252720371949,1.8255210773145
"123","Latvia",2013,7.322375,5.27864203836114,4.17684441848915,2.04373296163886
"124","Lebanon",2013,19.17825,17.6201775889968,2.42758963792943,1.55807241100323
"125","Lesotho",2013,13.773625,13.7245355433314,0.00240977475601803,0.0490894566685967
"126","Liberia",2013,26.314,25.374201707702,0.883220830206198,0.939798292297979
"127","Libya",2013,24.314,22.2753858880283,4.15594749753031,2.03861411197174
"128","Liechtenstein",2013,6.002375,4.61173005334241,1.93389336766428,1.39064494665759
"129","Lithuania",2013,7.804,5.86850686641698,3.74613367014703,1.93549313358302
"130","Luxembourg",2013,9.90025,9.13768166212689,0.581510469926562,0.762568337873113
"131","Macau",2013,23.473,22.4203951149425,1.10797704404686,1.05260488505747
"132","Macedonia",2013,13.260125,10.3378616076495,8.53962333427168,2.92226339235047
"133","Madagascar",2013,22.9595,22.7478161726792,0.0448100427491947,0.211683827320829
"134","Malawi",2013,21.269375,21.4178620782291,0.0220484124010146,-0.148487078229099
"135","Malaysia",2013,26.9735,25.805455015269,1.36432908635532,1.16804498473103
"136","Mali",2013,29.942,28.4407484560798,2.25375619812283,1.50125154392022
"137","Malta",2013,19.437375,18.4960790229885,0.88603811633802,0.941295977011492
"138","Martinique",2013,26.922125,26.1099735714286,0.659589942930613,0.812151428571429
"139","Mauritania",2013,29.11,27.582404040404,2.3335494157739,1.52759595959596
"140","Mauritius",2013,24.312375,23.5170612416926,0.632523974153071,0.795313758307419
"141","Mayotte",2013,27.13175,26.3378972667148,0.630202162144438,0.793852733285235
"142","Mexico",2013,22.2192222222222,20.5698648355059,2.72037978911572,1.64935738671633
"143","Moldova",2013,11.9605,8.88804710021564,9.43996682139332,3.07245289978436
"144","Monaco",2013,10.417,8.99227173419589,2.02985063138118,1.42472826580411
"145","Mongolia",2013,2.80775,-0.821179092471103,13.1691263581831,3.6289290924711
"146","Montenegro",2013,12.870375,10.178565784247,7.24583685401298,2.69180921575304
"147","Montserrat",2013,27.21325,26.3830548196248,0.68922403751818,0.830195180375181
"148","Morocco",2013,19.30525,17.5957618475504,2.92234974336556,1.70948815244961
"149","Mozambique",2013,23.488,23.5918453202235,0.010783850532324,-0.103845320223513
"150","Namibia",2013,21.265875,20.483732059448,0.611747579455356,0.782142940552017
"151","Nepal",2013,15.95125,14.8111023928606,1.2999365660656,1.14014760713935
"152","Netherlands",2013,9.8565,9.48121004993758,0.140842546617855,0.375289950062422
"153","Netherlands (Europe)",2013,9.4525,9.08907341675179,0.13207888141147,0.363426583248213
"154","New Caledonia",2013,23.382375,22.7064642202278,0.456855382212324,0.675910779772245
"155","New Zealand",2013,11.0885,10.3727241200828,0.512335110271218,0.715775879917183
"156","Nicaragua",2013,26.8715555555556,25.9543844580023,0.841202822187015,0.91717109755324
"157","Niger",2013,29.231375,27.4441105728716,3.19431413247871,1.78726442712843
"158","Nigeria",2013,28.005875,26.7306169959732,1.6262829768343,1.27525800402675
"159","Niue",2013,26.0475,25.0829622169797,0.930333134873786,0.964537783020337
"160","North America",2013,5.07388888888889,1.87833586445854,10.211559131946,3.19555302443035
"161","North Korea",2013,8.4915,6.75165714285714,3.02705316755102,1.73984285714286
"162","Northern Mariana Islands",2013,27.658875,26.9988224474474,0.435669372131141,0.660052552552553
"163","Norway",2013,1.735375,0.0600777437294291,2.8066208968677,1.67529725627057
"164","Oceania",2013,21.99075,21.4473771043771,0.295254103697609,0.543372895622895
"165","Oman",2013,28.194375,26.9186954806688,1.6273582360412,1.27567951933124
"166","Pakistan",2013,22.320875,20.6286081634714,2.86376704601436,1.69226683652855
"167","Palau",2013,27.820375,27.2164732954545,0.364697268752909,0.603901704545457
"168","Palestina",2013,24.092125,23.1141541660068,0.95642695214144,0.977970833993243
"169","Palmyra Atoll",2013,27.879875,27.1652789440204,0.510647523221663,0.714596055979644
"170","Panama",2013,27.2175,26.2928773629149,0.854927021010278,0.92462263708514
"171","Papua New Guinea",2013,25.069125,24.4523633207071,0.380394969044233,0.616761679292928
"172","Paraguay",2013,22.81775,23.2371671428571,0.175910739722448,-0.419417142857142
"173","Peru",2013,19.97625,19.9255898965849,0.0025664460780291,0.0506601034151046
"174","Philippines",2013,27.41675,26.4296852010673,0.9742969172921,0.987064798932725
"175","Poland",2013,9.257875,7.4243034700942,3.3619845552811,1.8335715299058
"176","Portugal",2013,15.88925,14.6897139208174,1.43888680526084,1.19953607918263
"177","Puerto Rico",2013,26.2832222222222,25.451544998557,0.691687004363495,0.831677223665224
"178","Qatar",2013,28.57375,26.7415467903891,3.35696860130849,1.8322032096109
"179","Reunion",2013,24.269125,23.2967681350731,0.945477872770534,0.972356864926933
"180","Romania",2013,11.6455,8.72164155600953,8.54894820049435,2.92385844399047
"181","Russia",2013,-2.263125,-5.5779720409541,10.9882109049221,3.31484704095409
"182","Rwanda",2013,20.103875,19.229150419403,0.765143091900648,0.874724580597029
"183","Saint Barthélemy",2013,27.363,26.6102766147186,0.566592494749468,0.752723385281385
"184","Saint Kitts And Nevis",2013,26.66575,25.8520892178932,0.662043868338617,0.81366078210678
"185","Saint Lucia",2013,27.4655,26.6467022943723,0.670429682741195,0.818797705627706
"186","Saint Martin",2013,27.363,26.6102766147186,0.566592494749468,0.752723385281385
"187","Saint Pierre And Miquelon",2013,6.92444444444444,4.16145445431761,7.63411368554107,2.76298999012683
"188","Saint Vincent And The Grenadines",2013,27.636375,26.7893948845599,0.71737531595095,0.846980115440115
"189","Samoa",2013,27.1765,26.3224136379208,0.729463513889629,0.854086362079169
"190","San Marino",2013,15.115625,13.8051078197707,1.71745527967605,1.31051718022926
"191","Sao Tome And Principe",2013,26.5325,25.7883213369213,0.553801882581542,0.74417866307866
"192","Saudi Arabia",2013,27.74075,25.4837252344877,5.0941607921357,2.25702476551227
"193","Senegal",2013,29.3015,27.9636769754507,1.78977044501421,1.33782302454929
"194","Serbia",2013,12.843625,9.94903959539212,8.37862466456894,2.89458540460788
"195","Seychelles",2013,27.451625,26.7349078597884,0.51368345907315,0.716717140211639
"196","Sierra Leone",2013,26.948,26.0154152556818,0.869714305335006,0.932584744318181
"197","Singapore",2013,27.602875,26.5229279789171,1.16628556834588,1.07994702108292
"198","Sint Maarten",2013,27.363,26.6102766147186,0.566592494749468,0.752723385281385
"199","Slovakia",2013,9.685625,7.49209492395869,4.8115741944978,2.19353007604131
"200","Slovenia",2013,11.74475,9.62566407048008,4.49052517668929,2.11908592951992
"201","Solomon Islands",2013,27.21025,26.6084433958634,0.362171188782433,0.601806604136605
"202","Somalia",2013,27.975625,26.8770692241565,1.20682479263921,1.09855577584354
"203","South Africa",2013,17.325375,17.2692242955028,0.00315290161553216,0.0561507044972025
"204","South America",2013,22.205375,21.8247001533742,0.14491333885355,0.380674846625766
"205","South Georgia And The South Sandwich Isla",2013,2.228625,1.43215106060606,0.634370736133701,0.79647393939394
"206","South Korea",2013,13.7605,11.8527316955684,3.63957990339382,1.9077683044316
"207","Spain",2013,14.858875,13.5807637753944,1.63356830246285,1.27811122460561
"208","Sri Lanka",2013,28.175125,26.9426777215281,1.51892629421285,1.23244727847192
"209","Sudan",2013,28.572,27.0759341904181,2.23821290659999,1.49606580958191
"210","Suriname",2013,26.95725,26.1655888138528,0.626727433651967,0.791661186147184
"211","Svalbard And Jan Mayen",2013,-5.382,-7.44221875501042,4.24450131849669,2.06021875501042
"212","Swaziland",2013,18.95825,18.8380565962169,0.0144464543129557,0.120193403783052
"213","Sweden",2013,4.19975,2.34654434797412,3.43437118870065,1.85320565202588
"214","Switzerland",2013,8.1775,6.96089656395415,1.48012392059857,1.21660343604585
"215","Syria",2013,20.021125,17.8997574838188,4.50020013870891,2.12136751618123
"216","Taiwan",2013,23.015,21.9390449728499,1.15767922044961,1.07595502715012
"217","Tajikistan",2013,6.562625,4.02040329398962,6.46289120251032,2.54222170601038
"218","Tanzania",2013,22.77275,22.3303668568564,0.195702845337628,0.442383143143619
"219","Thailand",2013,27.864875,25.9751876891091,3.57091813294194,1.88968731089086
